StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
0,,,,,Sol,Sol,0,0,0,-26.72,4.85,G2V,0.65
495,   677,   358,  15,, 21Alp And,Alpheratz,0.13976888,+29.09082805,29.7619047619048, 2.07,-0.29830361305078,B9p         ,-0.038
544,   746,   432,  21,Gl   8   , 11Bet Cas,Caph,0.15280269,+59.15021814,16.69727834363,  2.27,1.15677156542104,F2III-IV    , 0.380
554,   765,   496,  25,Gl   9.1 ,   Eps Phe, ,0.15681663,-45.74698836,42.9553264604811,  3.88,0.714914879889254,K0III       , 1.013
782,  1067,   886,  39,, 88Gam Peg,Algenib,0.22059721,+15.18361593,102.145045965271, 2.83,-2.21608654098431,B2IV        ,-0.190
1133,  1562,  1522,  74,,  8Iot Cet, ,0.32380084,-08.82382948,88.809946714032, 3.56,-1.18230804742336,K2III       , 1.214
1451,  2021,  2151,  98,Gl  19   ,   Bet Hyi, ,0.42755612,-77.25503511,7.47495888772612,  2.80,3.43195595808307,G2IV        , 0.618
1484,  2072,  2262, 100,Gl  20   ,   Kap Phe, ,0.43669894,-43.67990933,23.5238767348859,  3.94,2.08245552483561,A7V         , 0.175
1489,  2081,  2261,  99,,   Alp Phe,Ankaa,0.43801871,-42.30512197,23.7304224015187, 2.40,0.523472656360407,K0III...    , 1.083
2056,  2920,  3360, 153,, 17Zet Cas, ,0.61618528,+53.89693161,183.150183150183, 3.69,-2.62403678647631,B2IV        ,-0.196
2183,  3092,  3627, 165,, 31Del And, ,0.65544371,+30.86122579,31.0655483069276, 3.27,0.808604883428068,K3III...    , 1.268
2243,  3179,  3712, 168,, 18Alp Cas,Shedir,0.67510756,+56.53740928,70.0770847932726, 2.24,-1.98788013442676,K0II-IIIvar , 1.170
2405,  3419,  4128, 188,Gl  31   , 16Bet Cet,Diphda,0.7264523,-17.98668410,29.3772032902468,  2.04,-0.300052242937249,K0III       , 1.019
2666,  3821,  4614, 219,Gl  34  A, 24Eta Cas, ,0.8180835,+57.81654770,5.95273528186202,  3.45,4.57641715047222,G0V SB      , 0.587
3084,  4427,  5394, 264,, 27Gam Cas, ,0.9451392,+60.71674966,187.96992481203, 2.15,-4.22044183852476,B0IV:evar   ,-0.046
3092,  4436,  5448, 269,, 37Mu  And, ,0.94586046,+38.49925513,41.7885499373172, 3.86,0.754713493067187,A5V         , 0.130
3613,  5165,  6595, 322,,   Bet Phe, ,1.10141847,-46.71849042,60.7533414337789, 3.32,-0.597850845618744,G8IIIvar    , 0.885
3746,  5348,  6882, 338,,   Zet Phe, ,1.13973891,-55.24583235,85.7632933104631, 3.94,-0.726507247885023,B6V + B0V   ,-0.120
3756,  5364,  6805, 334,NN 3075  , 31Eta Cet, ,1.14312879,-10.18192800,36.0620266858997,  3.45,0.664749347889309,K2III       , 1.161
3816,  5447,  6860, 337,Gl  53.3 , 43Bet And,Mirach,1.16216599,+35.62083048,61.1246943765281,  2.05,-1.88108350332348,M0IIIvar    , 1.576
4562,  6537,  8512, 402,, 45The Cet, ,1.40040311,-08.18275372,35.1123595505618, 3.60,0.872699924824095,K0III       , 1.065
4667,  6686,  8538, 403,, 37Del Cas, ,1.43016751,+60.23540347,30.4785126485827, 2.66,0.240031151930239,A5Vv SB     , 0.160
4797,  6867,  9053, 429,,   Gam Phe, ,1.47276157,-43.31772906,71.7360114777618, 3.41,-0.868686131190047,K5II-III    , 1.542
4948,  7083,  9362, 440,,   Del Phe, ,1.5208282,-49.07307701,45.1467268623025, 3.93,0.656868652795442,K0III-IV    , 0.972
4959,  7097,  9270, 437,, 99Eta Psc, ,1.52472051,+15.34583101,90.1713255184851, 3.62,-1.1553422692542,G8III       , 0.974
5297,  7588, 10144, 472,,   Alp Eri,Achernar,1.62854213,-57.23666007,44.0917107583774, 0.45,-2.77178474889566,B3Vp        ,-0.158
5315,  7607,  9927, 464,, 51    And, ,1.6331951,+48.62848641,53.3049040511727, 3.59,-0.0438358297847716,K3III       , 1.275
5668,  8102, 10700, 509,Gl  71   , 52Tau Cet, ,1.73475762,-15.93955597,3.6473720684247,  3.49,5.68009966023162,G8V         , 0.727
6023,  8645, 11353, 539,, 55Zet Cet, ,1.85766961,-10.33494526,79.428117553614, 3.74,-0.759871349460687,K2III       , 1.136
6121,  8796, 11443, 544,Gl  78.1 ,  2Alp Tri, ,1.88469439,+29.57939727,19.657951641439,  3.42,1.95230868815677,F6IV        , 0.488
6147,  8832, 11502, 546,,  5Gam2Ari, ,1.892157,+19.29409264,62.65664160401, 3.88,-0.104835564926447,A1p Si      ,-0.047
6182,  8886, 11415, 542,, 45Eps Cas, ,1.90657873,+63.67014686,135.50135501355, 3.35,-2.30971819088479,B2pvar      ,-0.150
6195,  8903, 11636, 553,Gl  80   ,  6Bet Ari, ,1.91065251,+20.80829949,18.2681768359518,  2.64,1.33152396537052,A5V...      , 0.165
6270,  9007, 11937, 566,Gl  81  A,   Chi Eri, ,1.93245347,-51.60958673,17.4855744011191,  3.70,2.48660048273336,G5IV        , 0.844
6432,  9236, 12311, 591,Gl  83   ,   Alp Hyi, ,1.97940884,-61.56992444,21.8627022299956,  2.86,1.16148080135365,F0V         , 0.290
6503,  9347, 12274, 585,, 59Ups Cet, ,2.00006244,-21.07777193,92.2509225092251, 3.99,-0.834853588988159,K5/M0III    , 1.554
6605,  9487, 12446, 595,,113Alp Psc, ,2.03411128,+02.76376048,42.6439232409382, 3.82,0.67071423525551,A2          , 0.024
6693,  9598, 12216, 580,, 50    Cas, ,2.05727509,+72.42123962,49.7017892644135, 3.95,0.468139881919449,A2V         ,-0.002
6724,  9640, 12533, 603,, 57Gam1And, ,2.06497752,+42.32984832,108.813928182807, 2.10,-3.08342244306944,B8V         , 1.370
6888,  9884, 12929, 617,Gl  84.3 , 13Alp Ari,Hamal,2.11952383,+23.46277743,20.2101859337106,  2.00,0.472148454785415,K2III       , 1.151
7008, 10064, 13161, 622,,  4Bet Tri, ,2.15903358,+34.98739204,38.109756097561, 3.00,0.0948191535181135,A5III       , 0.140
7385, 10602, 14228, 674,,   Phi Eri, ,2.27513896,-51.51211145,47.4833808167142, 3.56,0.177291834247339,B8IV-V      ,-0.120
8222, 11767,  8890, 424,,  1Alp UMi,Polaris,2.52974312,+89.26413805,132.275132275132, 1.97,-3.63739102249397,F7:Ib-IIv SB, 0.636
8897, 12706, 16970, 804,Gl 106.1A, 86Gam Cet, ,2.72170126,+03.23617162,25.1382604323781,  3.56,1.55832389394208,A3V         , 0.093
9257, 13209, 17573, 838,, 41    Ari, ,2.8330526,+27.26079044,48.8997555012225, 3.61,0.163466561716803,B8Vn        ,-0.100
9298, 13268, 17506, 834,, 15Eta Per, ,2.84494243,+55.89552955,408.163265306122, 3.77,-4.28416957817734,K3Ib comp SB, 1.690
