StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
1,2,224690,,,,,0.00025315,-19.49883745,45.662100456621,9.27,5.97222057420059,K3V,0.999
2,3,224699,,,,,0.00033386,+38.85928608,355.871886120996,6.61,-1.1464684004746,B9,-0.019
3,4,224707,,,,,0.00055878,-51.89354612,129.032258064516,8.06,2.50650851253155,F0V,0.370
4,5,224705,,,,,0.00066435,-40.59122440,348.432055749129,8.55,0.839409483669963,G8III,0.902
5,9,224708,,,,,0.00235612,+36.58593777,207.900207900208,8.59,2.00072538186916,G5,1.067
6,10,224717,,,,,0.00241687,-50.86707360,92.9368029739777,8.59,3.74906135665185,F6V,0.489
7,11,224720,,,,,0.00248646,+46.94000154,233.100233100233,7.34,0.502286460923622,A2,0.081
8,12,224715,,,,,0.00272783,-35.96022482,246.305418719212,8.43,1.47263016788597,K4III,1.484
9,13,224728,,,,,0.00277864,-22.59468060,286.532951289398,8.80,1.5141271347959,K0III,1.128
10,14,224726,,,,,0.00321812,-00.36042119,195.694716242661,7.25,0.792104500673564,K0,1.200
11,15,236267,,,,,0.00335392,+50.79117384,408.163265306122,8.60,0.545830421822663,K2,1.166
12,17,224732,,,,,0.00340663,-40.19232842,162.60162601626,8.15,2.09437557887709,F3V,0.425
45,63,224801,9080,,,,0.01211663,+45.25333305,207.900207900208,6.36,-0.22927461813084,B9p SiEu,-0.047
46,64,224798,,,,,0.01230592,-27.90754614,289.855072463768,8.08,0.769095475366372,K2III,1.156
47,66,224790,,,,,0.01256994,-72.31824913,122.249388753056,8.55,3.11376651835662,F2V,0.401
48,67,224806,,,,,0.01327342,+23.53824873,133.689839572193,7.83,2.19950798932231,F5,0.495
49,68,224808,,,,,0.01337575,+16.98896499,31.4465408805031,8.79,6.30213559992216,K0,0.940
50,69,224804,,,,,0.01342478,+30.39589283,157.48031496063,8.33,2.34386862645988,A0,0.135
51,71,224803,,,,,0.01380665,+36.78015328,109.529025191676,8.26,3.0623538876715,G5,0.846
52,72,224810,,,,,0.01463132,-12.82867015,94.0733772342427,8.97,4.10266632261649,G3/G5V,0.671
53,73,224826,,,,,0.01469714,+66.84796687,251.889168765743,6.90,-0.106047466184424,K2,1.446
54,74,,,,,,0.01479152,+35.75272213,41.2881915772089,9.93,6.85087069403517,K5,1.068
55,75,224821,,,,,0.01487747,-50.44646500,625,7.42,-1.55940008672038,K4III,1.524
56,77,224820,,,,,0.01536811,-30.06417333,283.28611898017,8.41,1.14887352693911,A0V,0.022
75,105,224854,,,,,0.02185629,+70.92895780,225.225225225225,7.73,0.9669148505731,F0,0.455
76,106,224870,9083,,,,0.02201097,+49.98158501,222.222222222222,6.22,-0.513937431123281,G7II-III,0.970
77,107,224865,9082,,,,0.02225348,-50.33739907,171.232876712329,5.53,-0.637935764438001,M2III,1.615
78,108,224866,,,,,0.02243688,-70.12530771,3333.33333333333,8.53,-4.08439372640169,K3II/III,1.315
79,109,224875,,,,,0.0231068,+06.79149102,187.617260787993,7.23,0.863636045132862,F0,0.388
80,110,224873,,,,,0.02324721,+39.61081788,48.9715964740451,8.61,5.16027868875446,G5,0.787
81,111,,,,,,0.02327246,+34.28185977,36.8867576540022,11.28,8.44564758790243,M2,1.308
82,112,,,GJ 1293,,,0.02379443,-16.94782618,31.8979266347687,10.76,8.24118772583368,M1.5V:,1.384
83,113,224881,,,,,0.02437471,+49.01041081,3703.7037037037,8.93,-3.91318117920506,A0,0.021
84,114,224882,,,,,0.0247784,+30.73587929,100.704934541793,7.95,2.93474624247691,G0IV,0.654
85,115,224878,,,,,0.02483977,-62.92315760,211.416490486258,7.46,0.834305703689059,A2IV,0.160
86,116,224886,,,,,0.0250262,-33.79270439,120.627261761158,8.60,3.19277265275137,F3V,0.435
87,117,224879,,,,,0.02536054,-72.60590348,2777.77777777778,8.55,-3.66848749616356,G8III,1.093
88,119,224894,,,,,0.02601348,+44.67544581,133.511348464619,6.82,1.19240908849733,K0,1.071
3765,5375,6746,,,,,1.14626262,+38.43542051,436.681222707424,8.13,-0.07082258830056,G5,1.093
3766,5377,,,,,,1.14636021,+47.04333514,271.739130434783,8.95,1.77923909336759,K2,1.271
3767,5379,6785,,,,,1.14685391,+30.40798387,246.305418719212,7.62,0.662630167885971,A5,0.244
3768,5381,6946,,,,,1.14723958,-59.63721426,68.5871056241427,8.95,4.76878761990978,F8V,0.529
3769,5382,6804,,,,,1.14760142,+07.52606700,99.009900990099,8.77,3.79160686891321,F8,0.495
3770,5383,6868,,,,,1.14771777,-29.62242151,81.6993464052288,8.20,3.63890708904771,F5V,0.501
3771,5384,6825,,,,,1.14807391,-04.72246098,609.756097560976,7.96,-0.965780759761508,G5,0.990
3772,5385,6757,,,,,1.14809697,+45.20747613,245.700245700246,7.81,0.8579720461261,A0,0.044
3773,5386,7042,,,,,1.14879586,-69.56638187,369.0036900369,8.41,0.574846454372031,K4III,1.572
